name,voteCount,rating,address,cusine,cost,timing
Peter Cat,12404 votes,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","₹1,000",11am – 11:20pm (Mon-Sun)
Naturals Ice Cream,2498 votes,4.9,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata","North Indian, Continental",₹200,11am – 12midnight (Mon-Sun)
Carpe Diem,4083 votes,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"₹1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri..."
Barbeque Nation,5455 votes,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"₹1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)"
Flurys,4709 votes,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,7:30am – 11pm (Mon-Sun)
KFC,2135 votes,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹450,11am – 11pm (Mon-Sun)
Tung Fong,3644 votes,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)"
Arsalan,1500 votes,4.0,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000",11am – 11:45pm (Mon-Sun)
Kusum Rolls,1973 votes,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",₹300,12noon – 11pm (Mon-Sun)
Kareem's,1027 votes,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","₹1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)"
WOW! China,53 votes,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",₹650,12noon – 11pm (Mon-Sun)
Golden Spoon,1000 votes,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",₹600,12noon – 11pm (Mon-Sun)
BarBQ,8321 votes,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","₹1,200",12noon – 11:15pm (Mon-Sun)
The Kebab Factory,Cuisines:,NEW,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",₹350,11am – 11pm (Mon-Sun)
Patisserie By Franziska,Cuisines:,,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",₹450,
The Sixth Sense,92 votes,4.0,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","₹1,500","12noon – 12midnight (Mon-Thu),12noon – 2am..."
Food King,23 votes,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,₹300,12noon – 11:30pm (Mon-Sun)
Burgrill,888 votes,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,₹500,11am – 2am (Mon-Sun)
Zainab Biryani,Cuisines:,NEW,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹400,11am – 11pm (Mon-Sun)
The Crepe Cafe,81 votes,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹800,10:30am – 10:30pm (Mon-Sun)
Waffle Wallah,979 votes,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",₹450,8am – 11pm (Mon-Sun)
Shiraz Golden Restaurant,2552 votes,4.0,"135, Park Street Area, Kolkata","Chinese, Burmese",₹600,12noon – 11:30pm (Mon-Sun)
Moulin Rouge,1019 votes,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹700,12noon – 11:30pm (Mon-Sun)
Pizza Hut,66 votes,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹600,11am – 1am (Mon-Sun)
